5
65 9 0.9
66 13 1.3
67 21 2.1
68 30 3
69 38 3.8
70 40 4
71 57 5.7
72 69 6.9
73 107 10.7
74 114 11.4
75 139 13.9
76 139 13.9
77 206 20.6
78 89 8.9
79 89 8.9
80 126 12.6
81 156 15.6
82 169 16.9
83 201 20.1
84 203 20.3
85 276 27.6
86 191 19.1
87 354 35.4
88 418 41.8
89 486 48.6
90 571 57.1
91 627 62.7
92 726 72.6
93 1042 104.2
94 1058 105.8
95 1075 107.5
96 1084 108.4
97 1099 109.9
98 1180 118
99 1211 121.1
100 1173 117.3
101 1179 117.9
102 1175 117.5
103 1177 117.7
104 1187 118.7
105 1227 122.7
106 1200 120
107 1302 130.2
108 1284 128.4
109 1253 125.3
110 1243 124.3
111 1208 120.8
112 1172 117.2
113 1146 114.6
114 1095 109.5
115 1068 106.8
116 1040 104
117 1005 100.5
118 995 99.5
119 936 93.6
120 980 98
121 968 96.8
122 892 89.2
123 855 85.5
124 856 85.6
125 813 81.3
126 818 81.8
127 838 83.8
128 874 87.4
129 842 84.2
130 815 81.5
131 794 79.4
132 805 80.5
133 709 70.9
134 692 69.2
135 680 68
136 673 67.3
137 657 65.7
138 649 64.9
139 628 62.8
140 629 62.9
141 609 60.9
142 608 60.8
143 576 57.6
144 550 55
145 536 53.6
146 531 53.1
147 513 51.3
148 510 51
149 512 51.2
150 529 52.9
151 514 51.4
152 474 47.4
153 471 47.1
154 432 43.2
155 428 42.8
156 445 44.5
157 421 42.1
158 414 41.4
159 398 39.8
160 366 36.6
161 394 39.4
162 417 41.7
163 415 41.5
164 440 44
165 428 42.8
166 419 41.9
167 431 43.1
168 423 42.3
169 435 43.5
170 416 41.6
171 422 42.2
172 422 42.2
173 407 40.7
174 424 42.4
175 441 44.1
176 429 42.9
177 436 43.6
178 457 45.7
179 442 44.2
180 458 45.8
181 489 48.9
182 491 49.1
183 503 50.3
184 510 51
185 495 49.5
186 489 48.9
187 504 50.4
188 513 51.3
189 511 51.1
190 512 51.2
191 487 48.7
192 471 47.1
193 459 45.9
194 462 46.2
195 467 46.7
196 472 47.2
197 478 47.8
198 476 47.6
199 447 44.7
200 452 45.2
201 439 43.9
202 454 45.4
203 439 43.9
204 439 43.9
205 431 43.1
206 420 42
207 410 41
208 403 40.3
209 414 41.4
210 402 40.2
211 403 40.3
212 403 40.3
213 381 38.1
214 375 37.5
215 378 37.8
216 390 39
217 401 40.1
218 384 38.4
219 369 36.9
220 356 35.6
221 357 35.7
222 366 36.6
223 374 37.4
224 365 36.5
225 367 36.7
226 358 35.8
227 348 34.8
228 320 32
229 325 32.5
230 336 33.6
231 336 33.6
232 329 32.9
233 334 33.4
234 321 32.1
235 316 31.6
236 317 31.7
237 321 32.1
238 325 32.5
239 311 31.1
240 317 31.7
241 334 33.4
242 324 32.4
243 341 34.1
244 349 34.9
245 350 35
246 337 33.7
247 334 33.4
248 339 33.9
249 345 34.5
250 354 35.4
251 381 38.1
252 394 39.4
253 391 39.1
254 406 40.6
255 404 40.4
256 438 43.8
257 452 45.2
258 477 47.7
259 478 47.8
260 482 48.2
261 480 48
262 465 46.5
263 497 49.7
264 511 51.1
265 518 51.8
266 546 54.6
267 571 57.1
268 588 58.8
269 624 62.4
270 615 61.5
271 635 63.5
272 659 65.9
273 661 66.1
274 666 66.6
275 682 68.2
276 682 68.2
277 668 66.8
278 682 68.2
279 701 70.1
280 732 73.2
281 764 76.4
282 801 80.1
283 811 81.1
284 831 83.1
285 843 84.3
286 877 87.7
287 916 91.6
288 957 95.7
289 993 99.3
290 1015 101.5
291 1012 101.2
292 1086 108.6
293 1174 117.4
294 1237 123.7
295 1272 127.2
296 1365 136.5
297 1418 141.8
298 1455 145.5
299 1574 157.4
300 1672 167.2
301 1747 174.7
302 1794 179.4
303 1794 179.4
304 1927 192.7
305 1972 197.2
306 2122 212.2
307 2255 225.5
308 2349 234.9
309 2337 233.7
310 2362 236.2
311 2425 242.5
312 2420 242
313 2522 252.2
314 2651 265.1
315 2742 274.2
316 2785 278.5
317 2794 279.4
318 2799 279.9
319 2798 279.8
320 2929 292.9
321 3040 304
322 3028 302.8
323 3051 305.1
324 3017 301.7
325 3079 307.9
326 3025 302.5
327 3151 315.1
328 3241 324.1
329 3275 327.5
330 3251 325.1
331 3192 319.2
332 3208 320.8
333 3155 315.5
334 3245 324.5
335 3342 334.2
336 3275 327.5
337 3338 333.8
338 3330 333
339 3295 329.5
340 3229 322.9
341 3268 326.8
342 3367 336.7
343 3263 326.3
344 3332 333.2
345 3304 330.4
346 3230 323
347 3093 309.3
348 3157 315.7
349 3254 325.4
350 3206 320.6
351 3181 318.1
352 3142 314.2
353 3061 306.1
354 2973 297.3
355 3027 302.7
356 3158 315.8
357 3095 309.5
358 2990 299
359 2853 285.3
360 2754 275.4
361 2790 279
362 2870 287
363 2967 296.7
364 2930 293
365 2896 289.6
366 2840 284
367 2806 280.6
368 2858 285.8
369 3044 304.4
370 3171 317.1
371 3260 326
372 3293 329.3
373 3333 333.3
374 3451 345.1
375 3555 355.5
376 3770 377
377 3983 398.3
378 4043 404.3
379 4240 424
380 4368 436.8
381 4560 456
382 4653 465.3
383 4889 488.9
384 5165 516.5
385 5291 529.1
386 5493 549.3
387 5630 563
388 5779 577.9
389 5922 592.2
390 6117 611.7
391 6420 642
392 6472 647.2
393 6603 660.3
394 6565 656.5
395 6627 662.7
396 6544 654.4
397 6694 669.4
398 6869 686.9
399 6775 677.5
400 6684 668.4
401 6496 649.6
402 6412 641.2
403 6158 615.8
404 6248 624.8
405 6344 634.4
406 6070 607
407 5829 582.9
408 5570 557
409 5230 523
410 4850 485
411 4826 482.6
412 4832 483.2
413 4482 448.2
414 4137 413.7
415 3819 381.9
416 3584 358.4
417 3284 328.4
418 3316 331.6
419 3322 332.2
420 3012 301.2
421 2767 276.7
