3
1.09572 0.0063083 0.001
1.15054 0.0055718 0.001
1.20074 0.00639013 0.001
1.24632 0.0095425 0.001
1.30113 0.008806 0.001
1.3513 0.0111827 0.001
1.39688 0.0143351 0.001
1.41514 0.0143493 0.001
1.43334 0.0167012 0.001
1.46066 0.0198393 0.001
1.49704 0.0253221 0.001
1.51966 0.0331319 0.001
1.54668 0.0471788 0.001
1.57322 0.0791473 0.001
1.59541 0.10332 0.001
1.628 0.0799692 0.001
1.6516 0.0511566 0.001
1.69795 0.0254787 0.001
1.71634 0.0208177 0.001
1.7484 0.0169467 0.001
1.78502 0.0138583 0.001
1.8262 0.0107736 0.001
1.86733 0.00924719 0.001
1.90849 0.00694162 0.001
1.94959 0.00697364 0.001
1.98616 0.00544371 0.001
